contract_address,contract_name,chain
0x1f513904b7568445e3c291a6c58cb272db017d8a72aea563d5664666221d5f75,DECIBEL_PACKAGE,Aptos Testnet
0x501f5aab249607751b53dcb84ed68c95ede4990208bd861c3374a9b8ac1426da,BOT_OPERATOR,Aptos Testnet
0x596dfe6cd170290d228360c948c1db5fe3ba2142a7dc57494c87598038d3006f,DECIBEL_OPERATOR,Aptos Testnet
0xf50add10e6982e3953d9d5bec945506c3ac049c79b375222131704d25251530e,BTC/USD,Aptos Testnet
0x5d4a373896cc46ce5bd27f795587c1d682e7f57a3de6149d19cc3f3cb6c6800d,ETH/USD,Aptos Testnet
0xef5eee5ae8ba5726efcd8af6ee89dffe2ca08d20631fff3bafe98d89137a58c4,SOL/USD,Aptos Testnet
0xfaade75b8302ef13835f40c66ee812c3c0c8218549c42c0aebe24d79c27498d2,APT/USD,Aptos Testnet
0x2b0858711c401b2ff1d22156241127c4500b9cc88aaab1e54aca88f29282a144,XRP/USD,Aptos Testnet
0x7eda0461c46e464d7a155f77626be1d268b48f1c7b2e864c5dcf12aa5bf3159a,LINK/USD,Aptos Testnet
0x7c6d96f972a4986030ec3012217621f117f6be8a9380ffa29a7941cd62ccd34d,AAVE/USD,Aptos Testnet
0xbc6857d4255c58eb97643a6a3c9aed718322bf677b2556ce09097ab1bb3b47be,ENA/USD,Aptos Testnet
0x5f848e543d8a3021e74282fd258ab1919bcfd934d730368fb04398b64cbef9cf,HYPE/USD,Aptos Testnet
0x25d0f38fb7a4210def4e62d41aa8e616172ea37692605961df63a1c773661c2,WLFI/USD,Aptos Testnet
0x86aef2ef85b617efc54d6ecb16382e3c477801aef86efeb15b2ad7b3e949cc9b,COLLATERAL_STORE,Aptos Testnet
0xc8a1388ac9979097370bda9b5931b901d3b1d5e0de8f33e50b5d02392f32506,PRIMARY_BALANCE_TABLE,Aptos Testnet
0x8bc4c7c2180b05fcc5ed7802c62cbcabdf2a2dfd7cb19f5fce8beb7cdfab01c2,USDC_METADATA,Aptos Testnet
